a,b
0,5
1,6.3
2,7.6
3,8.9
4,10.2
5,11.5
6,12.8
7,14.1
8,15.4
9,16.7
10,18
11,19.3
12,20.6
13,21.9
14,23.2
15,24.5
16,25.8
17,27.1
18,28.4
19,29.7
20,31
21,32.3
22,33.6
23,34.9
24,36.2
25,37.5
26,38.8
27,40.1
28,41.4
29,42.7
30,44
31,45.3
32,46.6
33,47.9
34,49.2
35,50.5
36,51.8
37,53.1
38,54.4
39,55.7
40,57
41,58.3
42,59.6
43,60.9
44,62.2
45,63.5
46,64.8
47,66.1
48,67.4
49,68.7
50,70
51,71.3
52,72.6
53,73.9
54,75.2
55,76.5
56,77.8
57,79.1
58,80.4
59,81.7
60,83
61,84.3
62,85.6
63,86.9
64,88.2
65,89.5
66,90.8
67,92.1
68,93.4
69,94.7
70,96
71,97.3
72,98.6
73,99.9
74,101.2
75,102.5
76,103.8
77,105.1
78,106.4
79,107.7
80,109
81,110.3
82,111.6
83,112.9
84,114.2
85,115.5
86,116.8
87,118.1
88,119.4
89,120.7
90,122
91,123.3
92,124.6
93,125.9
94,127.2
95,128.5
96,129.8
97,131.1
98,132.4
99,133.7
